rpm,time_diff,x
2395.19,19959,21.437594890594482
2395.19,19960,21.43910241127014
2395.19,19961,21.4396333694458
2395.19,19962,21.440094709396362
2589.84,19964,21.440811157226562
2589.84,19965,21.441696405410767
2589.84,19966,21.44241952896118
2589.84,19968,21.4429612159729
2589.84,19970,21.44527268409729
2589.84,19971,21.446038007736206
2589.84,19972,21.447973489761353
2589.84,19973,21.449646949768066
2589.84,19974,21.45118546485901
2589.84,19976,21.455103635787964
2589.84,19977,21.456275463104248
2589.84,19978,21.457391262054443
2589.84,19979,21.45817756652832
2589.84,19981,21.459144830703735
2589.84,19982,21.459611177444458
2589.84,19983,21.460023403167725
2589.84,19984,21.460745573043823
2589.84,19986,21.461495399475098
2589.84,19987,21.462027072906494
2589.84,19988,21.46624255180359
2589.84,19989,21.46682119369507
2589.84,19991,21.467466115951538
2589.84,19992,21.470086097717285
2589.84,19993,21.470542192459106
2589.84,19994,21.470929622650146
2589.84,19996,21.472276210784912
2589.84,19997,21.473005771636963
2589.84,19998,21.475021362304688
2589.84,19999,21.475576877593994
2589.84,20001,21.47597599029541
2589.84,20002,21.47851252555847
2589.84,20003,21.479214906692505
2589.84,20004,21.48058533668518
2589.84,20006,21.481075763702393
2589.84,20007,21.483349561691284
2589.84,20008,21.484625577926636
2589.84,20009,21.48624897003174
2589.84,20012,21.487745761871338
2589.84,20013,21.48865056037903
2589.84,20014,21.489147424697876
2589.84,20015,21.49167776107788
2589.84,20017,21.49397349357605
2589.84,20018,21.4951012134552
2589.84,20019,21.49685263633728
2589.84,20020,21.498148202896118
2589.84,20022,21.499526977539062
2589.84,20023,21.500037670135498
2589.84,20024,21.50071144104004
2589.84,20025,21.501199960708618
2589.84,20027,21.503059148788452
2589.84,20028,21.50362539291382
2589.84,20029,21.505460262298584
2589.84,20030,21.50649857521057
2589.84,20032,21.507880687713623
2589.84,20033,21.50843834877014
2589.84,20034,21.51060724258423
2589.84,20035,21.512214183807373
2589.84,20036,21.513226985931396
2589.84,20038,21.513726949691772
2589.84,20039,21.515810251235962
2589.84,20040,21.516310691833496
2589.84,20041,21.51675510406494
2589.84,20043,21.519465446472168
2589.84,20044,21.52156710624695
2589.84,20045,21.522897958755493
2589.84,20046,21.5254864692688
2589.84,20048,21.52601933479309
